index,x,y,dist_to_next
0,-0.600072,0.250018,1.200071
1,0.599999,0.250218,0.050003
2,0.600008,0.200215,0.025497
3,0.575007,0.195210,0.135007
4,0.575029,0.060203,0.050993
5,0.625034,0.050210,0.038002
6,0.625040,0.012208,0.016971
7,0.613042,0.000205,0.172531
8,0.440511,0.000176,0.000006
9,0.440511,0.000170,0.039994
10,0.440511,0.040164,0.016664
11,0.457112,0.041613,0.016689
12,0.473057,0.046542,0.016689
13,0.487736,0.054483,0.016689
14,0.500588,0.065129,0.016689
15,0.511121,0.078075,0.016689
16,0.518932,0.092824,0.016689
17,0.523721,0.108812,0.016689
18,0.525305,0.125426,0.016689
19,0.523623,0.142030,0.016689
20,0.518740,0.157989,0.016689
21,0.510843,0.172692,0.016689
22,0.500234,0.185575,0.016689
23,0.487319,0.196146,0.016689
24,0.472594,0.204000,0.016689
25,0.456620,0.208836,0.016689
26,0.440011,0.210469,0.016689
27,0.423402,0.208836,0.016689
28,0.407428,0.204000,0.016689
29,0.392702,0.196146,0.016689
30,0.379788,0.185575,0.016689
31,0.369179,0.172692,0.016689
32,0.361282,0.157989,0.016689
33,0.356399,0.142030,0.016689
34,0.354717,0.125426,0.016689
35,0.356301,0.108812,0.016689
36,0.361090,0.092824,0.016689
37,0.368901,0.078075,0.016689
38,0.379434,0.065129,0.016689
39,0.392286,0.054483,0.016689
40,0.406965,0.046542,0.016689
41,0.422910,0.041613,0.016664
42,0.439511,0.040164,0.039994
43,0.439511,0.000170,0.219013
44,0.220498,0.000134,0.039994
45,0.220498,0.040128,0.016664
46,0.237099,0.041577,0.016689
47,0.253044,0.046506,0.016689
48,0.267723,0.054447,0.016689
49,0.280575,0.065093,0.016689
50,0.291108,0.078039,0.016689
51,0.298919,0.092788,0.016689
52,0.303707,0.108775,0.016689
53,0.305291,0.125389,0.016689
54,0.303610,0.141994,0.016689
55,0.298727,0.157953,0.016689
56,0.290830,0.172656,0.016689
57,0.280221,0.185539,0.016689
58,0.267306,0.196110,0.016689
59,0.252580,0.203964,0.016689
60,0.236607,0.208800,0.016689
61,0.219998,0.210433,0.016689
62,0.203389,0.208800,0.016689
63,0.187415,0.203964,0.016689
64,0.172689,0.196110,0.016689
65,0.159775,0.185539,0.016689
66,0.149166,0.172656,0.016689
67,0.141269,0.157953,0.016689
68,0.136386,0.141994,0.016689
69,0.134704,0.125389,0.016689
70,0.136288,0.108775,0.016689
71,0.141077,0.092788,0.016689
72,0.148887,0.078039,0.016689
73,0.159420,0.065093,0.016689
74,0.172273,0.054447,0.016689
75,0.186952,0.046506,0.016689
76,0.202897,0.041577,0.016664
77,0.219498,0.040128,0.039994
78,0.219498,0.000134,0.219013
79,0.000485,0.000097,0.039994
80,0.000485,0.040091,0.016664
81,0.017086,0.041539,0.016689
82,0.033030,0.046469,0.016689
83,0.047710,0.054409,0.016689
84,0.060562,0.065056,0.016689
85,0.071095,0.078002,0.016689
86,0.078906,0.092751,0.016689
87,0.083694,0.108738,0.016689
88,0.085278,0.125352,0.016689
89,0.083597,0.141957,0.016689
90,0.078714,0.157916,0.016689
91,0.070817,0.172618,0.016689
92,0.060208,0.185502,0.016689
93,0.047293,0.196073,0.016689
94,0.032567,0.203927,0.016689
95,0.016594,0.208763,0.016689
96,-0.000015,0.210395,0.016689
97,-0.016625,0.208763,0.016689
98,-0.032598,0.203927,0.016689
99,-0.047324,0.196073,0.016689
100,-0.060238,0.185502,0.016689
101,-0.070847,0.172618,0.016689
102,-0.078744,0.157916,0.016689
103,-0.083627,0.141957,0.016689
104,-0.085309,0.125352,0.016689
105,-0.083725,0.108738,0.016689
106,-0.078936,0.092751,0.016689
107,-0.071126,0.078002,0.016689
108,-0.060593,0.065056,0.016689
109,-0.047740,0.054409,0.016689
110,-0.033061,0.046469,0.016689
111,-0.017116,0.041539,0.016664
112,-0.000515,0.040091,0.039994
113,-0.000515,0.000097,0.219513
114,-0.220028,0.000066,0.039994
115,-0.220028,0.040060,0.016664
116,-0.203427,0.041509,0.016689
117,-0.187483,0.046438,0.016689
118,-0.172803,0.054379,0.016689
119,-0.159951,0.065025,0.016689
120,-0.149418,0.077971,0.016689
121,-0.141608,0.092720,0.016689
122,-0.136819,0.108707,0.016689
123,-0.135235,0.125321,0.016689
124,-0.136916,0.141926,0.016689
125,-0.141799,0.157885,0.016689
126,-0.149696,0.172588,0.016689
127,-0.160305,0.185471,0.016689
128,-0.173220,0.196042,0.016689
129,-0.187946,0.203896,0.016689
130,-0.203919,0.208732,0.016689
131,-0.220528,0.210365,0.016689
132,-0.237138,0.208732,0.016689
133,-0.253111,0.203896,0.016689
134,-0.267837,0.196042,0.016689
135,-0.280752,0.185471,0.016689
136,-0.291360,0.172588,0.016689
137,-0.299258,0.157885,0.016689
138,-0.304140,0.141926,0.016689
139,-0.305822,0.125321,0.016689
140,-0.304238,0.108707,0.016689
141,-0.299449,0.092720,0.016689
142,-0.291639,0.077971,0.016689
143,-0.281106,0.065025,0.016689
144,-0.268253,0.054379,0.016689
145,-0.253574,0.046438,0.016689
146,-0.237629,0.041509,0.016664
147,-0.221028,0.040060,0.039994
148,-0.221028,0.000066,0.218013
149,-0.439041,0.000029,0.039994
150,-0.439041,0.040023,0.016666
151,-0.422439,0.041471,0.016691
152,-0.406492,0.046402,0.016691
153,-0.391812,0.054343,0.016691
154,-0.378958,0.064991,0.016691
155,-0.368424,0.077937,0.016691
156,-0.360613,0.092688,0.016691
157,-0.355823,0.108677,0.016691
158,-0.354239,0.125293,0.016691
159,-0.355921,0.141899,0.016691
160,-0.360804,0.157859,0.016691
161,-0.368702,0.172564,0.016691
162,-0.379312,0.185449,0.016691
163,-0.392228,0.196021,0.016691
164,-0.406956,0.203875,0.016691
165,-0.422930,0.208711,0.016691
166,-0.439541,0.210344,0.016691
167,-0.456152,0.208711,0.016691
168,-0.472127,0.203875,0.016691
169,-0.486855,0.196021,0.016691
170,-0.499771,0.185449,0.016691
171,-0.510381,0.172564,0.016691
172,-0.518279,0.157859,0.016691
173,-0.523162,0.141899,0.016691
174,-0.524844,0.125293,0.016691
175,-0.523260,0.108677,0.016691
176,-0.518470,0.092688,0.016691
177,-0.510659,0.077937,0.016691
178,-0.500125,0.064991,0.016691
179,-0.487271,0.054343,0.016691
180,-0.472590,0.046402,0.016691
181,-0.456644,0.041471,0.016666
182,-0.440041,0.040023,0.039994
183,-0.440041,0.000029,0.172989
184,-0.613031,0.000000,0.016972
185,-0.625034,0.011999,0.038002
186,-0.625040,0.050001,0.050993
187,-0.575039,0.060010,0.135009
188,-0.575062,0.195018,0.025496
189,-0.600063,0.200015,0.050003
